o_orderkey,o_custkey,o_totalprice,o_orderdate,o_freedelivery
3271,232,120893.57,1992-01-01,False
5607,638,43530.03,1992-01-01,False
20742,958,100887.25,1992-01-01,False
23010,638,112675.19,1992-01-01,False
27015,77,27730.1,1992-01-01,False
27137,379,243849.8,1992-01-01,False
37543,871,191290.47,1992-01-01,False
1248,331,234608.74,1992-01-02,False
3139,116,51273.13,1992-01-02,False
3712,448,164810.62,1992-01-02,False
6657,325,45027.47,1992-01-03,False
22693,154,229897.03,1992-01-03,False
24167,725,142118.91,1992-01-03,False
29030,808,59503.31,1992-01-03,False
36582,25,165573.24,1992-01-03,False
4000,487,109863.73,1992-01-04,False
7618,617,264107.47,1992-01-04,False
9379,245,146217.34,1992-01-04,False
10945,175,138110.78,1992-01-04,False
16164,689,107947.45,1992-01-04,False
34145,371,77573.37,1992-01-04,False
35811,410,206232.39,1992-01-04,False
6278,236,128993.92,1992-01-05,False
7107,637,223305.37,1992-01-05,False
16064,13,93254.35,1992-01-05,False
31555,475,97598.05,1992-01-05,False
39619,244,137289.4,1992-01-05,False
4800,247,108699.79,1992-01-06,False
5601,77,137966.54,1992-01-06,False
10432,862,159481.97,1992-01-06,False
13444,124,242793.39,1992-01-06,False
16036,565,235349.74,1992-01-06,False
18625,1042,252675.9,1992-01-06,False
25442,350,145300.68,1992-01-06,False
2983,430,60049.39,1992-01-07,False
12769,740,19932.59,1992-01-08,False
15141,265,121493.74,1992-01-08,False
4292,172,181876.15,1992-01-09,False
5409,89,190459.24,1992-01-09,False
7042,251,176534.85,1992-01-09,False
14726,896,104786.06,1992-01-09,False
23334,1012,29864.83,1992-01-09,False
26818,830,301805.52,1992-01-09,False
3744,451,38226.52,1992-01-10,False
11296,583,276651.38,1992-01-10,False
14820,796,117844.27,1992-01-10,False
18180,704,51394.5,1992-01-10,False
4998,223,156854.02,1992-01-11,False
10053,1009,195968.28,1992-01-11,False
17540,607,78102.54,1992-01-11,False
18275,145,207018.32,1992-01-11,False
20708,706,236782.44,1992-01-11,False
34662,532,292977.3,1992-01-11,False
39648,458,125755.06,1992-01-11,False
22663,940,151898.78,1992-01-12,False
23015,548,94748.05,1992-01-12,False
39942,499,23411.22,1992-01-12,False
292,157,43880.67,1992-01-13,False
5382,241,177748.09,1992-01-13,False
7783,916,164455.67,1992-01-13,False
21382,319,329248.58,1992-01-13,False
24005,421,144590.18,1992-01-13,False
28485,55,238548.29,1992-01-13,False
38147,968,192302.48,1992-01-13,False
3011,629,76768.3,1992-01-14,False
6501,23,154076.68,1992-01-14,False
22914,286,301959.88,1992-01-14,False
10151,412,7006.15,1992-01-15,False
20834,817,36646.15,1992-01-15,False
32615,943,20242.03,1992-01-15,False
36357,469,158155.15,1992-01-15,False
2210,223,46835.49,1992-01-16,False
13027,670,152122.09,1992-01-16,False
16807,442,151371.38,1992-01-16,False
24864,280,183089.76,1992-01-16,False
25351,1048,26054.07,1992-01-16,False
26883,1036,31232.91,1992-01-16,False
3685,112,214614.78,1992-01-17,False
9632,1000,118512.35,1992-01-17,False
23268,421,120720.59,1992-01-17,False
29090,716,182540.91,1992-01-17,False
29573,179,56672.97,1992-01-17,False
29888,910,204863.97,1992-01-17,False
33410,902,116400.87,1992-01-17,False
29412,661,19318.44,1992-01-18,False
15491,1030,254320.49,1992-01-19,False
24290,946,64290.99,1992-01-19,False
28197,953,83848.77,1992-01-19,False
6886,704,168087.49,1992-01-20,False
7684,802,219417.96,1992-01-20,False
8034,517,156450.94,1992-01-20,False
11969,314,332960.61,1992-01-20,False
33285,515,175431.07,1992-01-20,False
33956,178,164578.33,1992-01-20,False
38277,683,16928.19,1992-01-20,False
6016,152,85767.91,1992-01-21,False
7973,652,55441.29,1992-01-21,False
19617,43,71139.75,1992-01-21,False
29223,769,247834.16,1992-01-21,False
37377,887,236794.9,1992-01-21,False
38690,502,78082.71,1992-01-21,False
11428,440,11493.97,1992-01-22,False
9761,302,82550.77,1992-01-23,False
19715,733,29240.01,1992-01-23,False
28582,842,112240.08,1992-01-23,False
30629,673,130592.41,1992-01-23,False
2688,682,209509.84,1992-01-24,False
6373,271,142649.7,1992-01-24,False
28902,272,216584.88,1992-01-24,False
36000,745,15049.18,1992-01-24,False
26053,598,162287.63,1992-01-25,False
15073,52,68268.96,1992-01-26,False
15554,31,95883.87,1992-01-26,False
26759,29,225943.06,1992-01-26,False
37892,788,21212.31,1992-01-26,False
15940,479,97186.91,1992-01-27,False
28129,694,167719.42,1992-01-27,False
32966,704,254452.12,1992-01-27,False
4804,250,165809.26,1992-01-28,False
18886,130,244606.26,1992-01-28,False
31170,445,103381.65,1992-01-28,False
36418,1043,70429.29,1992-01-28,False
8070,701,336989.3,1992-01-29,False
36484,344,221691.44,1992-01-29,False
3168,952,94873.02,1992-01-30,False
15557,674,82029.79,1992-01-30,False
37347,262,186870.17,1992-01-30,False
9253,572,254923.93,1992-01-31,False
9925,37,252678.58,1992-01-31,False
20003,814,164802.75,1992-01-31,False
30949,752,125684.91,1992-01-31,False
12644,811,122051.64,1992-02-01,False
20256,343,49829.34,1992-02-01,False
30113,82,26186.11,1992-02-01,False
6757,667,261369.27,1992-02-02,False
20417,694,57221.24,1992-02-02,False
34470,172,153827.25,1992-02-02,False
8832,358,99347.91,1992-02-03,False
15943,133,53569.31,1992-02-03,False
22916,322,18074.16,1992-02-03,False
32513,581,142436.52,1992-02-03,False
34912,1030,28086,1992-02-03,False
39813,784,77604.49,1992-02-03,False
8067,34,93199.29,1992-02-04,False
7072,775,62109.3,1992-02-05,False
16996,800,99862.23,1992-02-05,False
38597,292,174082.15,1992-02-05,False
16548,7,113674.48,1992-02-06,False
17635,430,316254.5,1992-02-06,False
21537,601,52403.38,1992-02-06,False
34083,622,184881.6,1992-02-06,False
2755,824,157162.08,1992-02-07,False
16866,829,87803.14,1992-02-07,False
24448,958,226185.23,1992-02-07,False
31525,169,7872.39,1992-02-07,False
33603,28,53718.67,1992-02-07,False
37444,595,71989.05,1992-02-07,False
8224,26,98530.8,1992-02-08,False
11683,148,208303.79,1992-02-08,False
16580,167,251019.62,1992-02-08,False
27909,268,149811.89,1992-02-08,False
28390,733,167992.02,1992-02-08,False
34117,881,216102.12,1992-02-08,False
23140,298,275795.47,1992-02-09,False
27109,215,62349.75,1992-02-09,False
27557,133,222820.88,1992-02-09,False
28198,121,203548.54,1992-02-09,False
37763,1022,163320.86,1992-02-09,False
4162,149,107696.68,1992-02-10,False
11239,332,288426.95,1992-02-10,False
29507,187,128852.57,1992-02-10,False
10917,176,133553.02,1992-02-11,False
30599,361,37269.67,1992-02-11,False
33414,898,105356.86,1992-02-11,False
35492,866,217052.59,1992-02-11,False
8007,166,235642.3,1992-02-12,False
13157,460,240634.73,1992-02-12,False
14625,752,3421.63,1992-02-12,False
17093,163,155608.97,1992-02-12,False
18500,62,132532.15,1992-02-12,False
4199,29,37484.36,1992-02-13,False
10593,787,195185.2,1992-02-13,False
14272,943,93921.82,1992-02-13,False
26151,902,184039.55,1992-02-13,False
38661,1049,230446.36,1992-02-13,False
8772,199,19233.29,1992-02-14,False
13700,745,19376.23,1992-02-14,False
31168,706,128327.88,1992-02-14,False
33184,560,73427.69,1992-02-14,False
33507,109,131888.82,1992-02-14,False
34211,676,136611.53,1992-02-14,False
38500,694,64055.97,1992-02-14,False
1154,247,197391.97,1992-02-15,False
1537,754,119149.47,1992-02-15,False
11267,385,43511.58,1992-02-15,False
20962,320,210534.39,1992-02-15,False
7587,160,26702.3,1992-02-16,False
29473,1028,176524.07,1992-02-16,False
32292,400,287000.68,1992-02-16,False
35846,140,52148,1992-02-16,False
38052,421,37327.54,1992-02-16,False
14212,565,152151.78,1992-02-17,False
17607,727,43174.82,1992-02-17,False
24487,583,80989.97,1992-02-17,False
25570,274,88459.75,1992-02-17,False
30694,85,15376.26,1992-02-17,False
31106,454,219787.98,1992-02-17,False
801,826,169057.39,1992-02-18,False
4391,265,53612.67,1992-02-18,False
14240,482,273409.02,1992-02-18,False
24775,424,74641.88,1992-02-18,False
4035,815,29905.78,1992-02-19,False
7299,959,84939.29,1992-02-19,False
12418,910,136074.76,1992-02-19,False
32192,235,186146.92,1992-02-19,False
37123,22,147015.5,1992-02-19,False
37445,331,124110.23,1992-02-19,False
1057,532,134796.53,1992-02-20,False
5860,88,12503.46,1992-02-20,False
12711,59,108664.19,1992-02-20,False
26309,958,217388.27,1992-02-20,False
35905,842,187778.64,1992-02-20,False
39075,941,188946.98,1992-02-20,False
6,391,65878.93,1992-02-21,False
20803,37,88507.29,1992-02-21,False
25255,343,157335.82,1992-02-21,False
421,275,1922,1992-02-22,False
17285,404,114548.59,1992-02-22,False
17602,269,30930.44,1992-02-22,False
37797,868,123255.97,1992-02-23,False
8388,614,205360.97,1992-02-24,False
9281,632,207873.7,1992-02-24,False
19623,149,253432.4,1992-02-24,False
35392,845,43047.37,1992-02-24,False
6338,1036,138373.38,1992-02-25,False
11776,271,66095.29,1992-02-25,False
13668,616,177329.15,1992-02-25,False
25314,244,309520.95,1992-02-25,False
27171,472,191009.39,1992-02-25,False
39873,226,38579.22,1992-02-25,False
16455,970,61195.02,1992-02-26,False
25637,214,125760,1992-02-26,False
31622,530,83653.83,1992-02-26,False
38086,671,78540.59,1992-02-26,False
37986,448,139416.95,1992-02-27,False
7653,913,147121.51,1992-02-28,False
18950,833,30100.62,1992-02-28,False
28998,718,2271.85,1992-02-28,False
1282,812,71004.75,1992-02-29,False
19332,892,229834.38,1992-02-29,False
36257,91,89624.48,1992-02-29,False
16740,190,72410.59,1992-03-01,False
6436,733,14836.62,1992-03-02,False
8035,638,179518.6,1992-03-02,False
12739,541,38553.36,1992-03-02,False
27045,622,236664.06,1992-03-02,False
33606,457,48077.2,1992-03-02,False
34405,577,112182.59,1992-03-02,False
384,793,161767.81,1992-03-03,False
6944,481,6195.36,1992-03-03,False
13666,311,48177.03,1992-03-03,False
17088,832,12789.07,1992-03-03,False
21478,743,333026.13,1992-03-03,False
27392,238,179733.05,1992-03-03,False
4230,977,295115.13,1992-03-04,False
25767,377,269715.87,1992-03-04,False
32902,1018,172091.98,1992-03-04,False
35968,503,231578.75,1992-03-04,False
1925,118,210111.74,1992-03-05,False
34563,466,234930.56,1992-03-05,False
37188,977,150296.1,1992-03-05,False
2240,388,222691.93,1992-03-06,False
15173,419,166219.4,1992-03-06,False
24677,71,42771.29,1992-03-06,False
4483,353,149641.84,1992-03-07,False
13991,844,241639.11,1992-03-07,False
15044,775,88184.53,1992-03-07,False
15492,689,57591.35,1992-03-07,False
34276,398,58609.09,1992-03-07,False
36612,505,108004.59,1992-03-07,False
10598,323,17928.85,1992-03-08,False
21543,184,146630.34,1992-03-08,False
31523,439,95031.71,1992-03-09,False
2848,482,170304.25,1992-03-10,False
5574,187,174126.63,1992-03-10,False
22085,82,138212.52,1992-03-10,False
7174,902,73856.29,1992-03-11,False
16804,911,109017.85,1992-03-11,False
20645,421,18141.67,1992-03-11,False
24707,995,155450.22,1992-03-11,False
2912,646,46822.73,1992-03-12,False
31269,520,60901.53,1992-03-12,False
17152,607,140822.24,1992-03-13,False
23584,794,128745.95,1992-03-13,False
32067,623,216058.82,1992-03-13,False
38465,731,45782.3,1992-03-13,False
13024,464,51077.06,1992-03-14,False
20194,866,128461.77,1992-03-14,False
29607,347,113913.49,1992-03-14,False
35173,235,200542.33,1992-03-14,False
37605,812,157341.12,1992-03-14,False
2022,433,276161.14,1992-03-15,False
2880,56,208527.66,1992-03-15,False
14784,725,207303.98,1992-03-15,False
27490,868,172248.22,1992-03-15,False
15367,14,15483.47,1992-03-16,False
17571,250,325733.84,1992-03-16,False
19207,68,183208.05,1992-03-16,False
21223,287,204852.1,1992-03-16,False
21607,758,83345.04,1992-03-16,False
4515,979,210219.05,1992-03-17,False
18112,769,149081.82,1992-03-17,False
11202,818,169328.72,1992-03-18,False
24672,578,248409.13,1992-03-18,False
322,935,145855.15,1992-03-19,False
8771,850,79331.8,1992-03-19,False
10531,40,177768.5,1992-03-19,False
11393,805,142003.64,1992-03-19,False
21126,796,91531.94,1992-03-19,False
26660,683,107758.77,1992-03-19,False
27076,436,124717.37,1992-03-19,False
324,737,31709.02,1992-03-20,False
1856,731,270457.2,1992-03-20,False
24865,349,247027.12,1992-03-20,False
11328,326,17131.69,1992-03-21,False
12386,298,273087.5,1992-03-21,False
26535,212,178033.06,1992-03-21,False
30051,164,97724.11,1992-03-21,False
2786,553,214565.84,1992-03-22,False
4705,685,242539.62,1992-03-22,False
4903,644,54146.49,1992-03-22,False
31586,523,253104.25,1992-03-22,False
9826,490,123827.89,1992-03-23,False
11301,952,166242.1,1992-03-23,False
17893,940,44357.08,1992-03-23,False
29926,904,61082.5,1992-03-23,False
2627,1039,47194.76,1992-03-24,False
3973,713,128112.09,1992-03-24,False
7941,952,89325.4,1992-03-24,False
12352,1027,302727.14,1992-03-24,False
15616,10,147500.14,1992-03-24,False
29921,1021,49890.86,1992-03-24,False
38853,554,206832.61,1992-03-24,False
39655,190,191965.11,1992-03-24,False
1764,197,74096.85,1992-03-25,False
5473,449,79759.1,1992-03-25,False
9794,355,233700.67,1992-03-25,False
16390,574,10334.16,1992-03-25,False
24770,1006,51863.1,1992-03-25,False
9541,419,112363.76,1992-03-26,False
11045,389,227769.86,1992-03-26,False
33252,706,324783.83,1992-03-26,False
3970,526,187939.21,1992-03-27,False
