,o_orderkey,o_custkey,o_totalprice,o_orderdate,o_freedelivery
0,3271,232,120893.57,1992-01-01,no
1,5607,638,43530.03,1992-01-01,no
2,20742,958,100887.25,1992-01-01,no
3,23010,638,112675.19,1992-01-01,no
4,27015,77,27730.1,1992-01-01,no
5,27137,379,243849.8,1992-01-01,yes
6,37543,871,191290.47,1992-01-01,no
7,1248,331,234608.74,1992-01-02,yes
8,3139,116,51273.13,1992-01-02,no
9,3712,448,164810.62,1992-01-02,no
10,6657,325,45027.47,1992-01-03,no
11,22693,154,229897.03,1992-01-03,yes
12,24167,725,142118.91,1992-01-03,no
13,29030,808,59503.31,1992-01-03,no
14,36582,25,165573.24,1992-01-03,no
15,4000,487,109863.73,1992-01-04,no
16,7618,617,264107.47,1992-01-04,yes
17,9379,245,146217.34,1992-01-04,no
18,10945,175,138110.78,1992-01-04,no
19,16164,689,107947.45,1992-01-04,no
20,34145,371,77573.37,1992-01-04,no
21,35811,410,206232.39,1992-01-04,yes
22,6278,236,128993.92,1992-01-05,no
23,7107,637,223305.37,1992-01-05,yes
24,16064,13,93254.35,1992-01-05,no
25,31555,475,97598.05,1992-01-05,no
26,39619,244,137289.4,1992-01-05,no
27,4800,247,108699.79,1992-01-06,no
28,5601,77,137966.54,1992-01-06,no
29,10432,862,159481.97,1992-01-06,no
30,13444,124,242793.39,1992-01-06,yes
31,16036,565,235349.74,1992-01-06,yes
32,18625,1042,252675.9,1992-01-06,yes
33,25442,350,145300.68,1992-01-06,no
34,2983,430,60049.39,1992-01-07,no
35,12769,740,19932.59,1992-01-08,no
36,15141,265,121493.74,1992-01-08,no
37,4292,172,181876.15,1992-01-09,no
38,5409,89,190459.24,1992-01-09,no
39,7042,251,176534.85,1992-01-09,no
40,14726,896,104786.06,1992-01-09,no
41,23334,1012,29864.83,1992-01-09,no
42,26818,830,301805.52,1992-01-09,yes
43,3744,451,38226.52,1992-01-10,no
44,11296,583,276651.38,1992-01-10,yes
45,14820,796,117844.27,1992-01-10,no
46,18180,704,51394.5,1992-01-10,no
47,4998,223,156854.02,1992-01-11,no
48,10053,1009,195968.28,1992-01-11,no
49,17540,607,78102.54,1992-01-11,no
50,18275,145,207018.32,1992-01-11,yes
51,20708,706,236782.44,1992-01-11,yes
52,34662,532,292977.3,1992-01-11,yes
53,39648,458,125755.06,1992-01-11,no
54,22663,940,151898.78,1992-01-12,no
55,23015,548,94748.05,1992-01-12,no
56,39942,499,23411.22,1992-01-12,no
57,292,157,43880.67,1992-01-13,no
58,5382,241,177748.09,1992-01-13,no
59,7783,916,164455.67,1992-01-13,no
60,21382,319,329248.58,1992-01-13,yes
61,24005,421,144590.18,1992-01-13,no
62,28485,55,238548.29,1992-01-13,yes
63,38147,968,192302.48,1992-01-13,no
64,3011,629,76768.3,1992-01-14,no
65,6501,23,154076.68,1992-01-14,no
66,22914,286,301959.88,1992-01-14,yes
67,10151,412,7006.15,1992-01-15,no
68,20834,817,36646.15,1992-01-15,no
69,32615,943,20242.03,1992-01-15,no
70,36357,469,158155.15,1992-01-15,no
71,2210,223,46835.49,1992-01-16,yes
