o_orderkey,o_custkey,o_totalprice,o_orderdate
3271,232,120893.57,1992-01-01
5607,638,43530.03,1992-01-01
20742,958,100887.25,1992-01-01
23010,638,112675.19,1992-01-01
27015,77,27730.1,1992-01-01
27137,379,243849.8,1992-01-01
37543,871,191290.47,1992-01-01
1248,331,234608.74,1992-01-02
3139,116,51273.13,1992-01-02
3712,448,164810.62,1992-01-02
6657,325,45027.47,1992-01-03
22693,154,229897.03,1992-01-03
24167,725,142118.91,1992-01-03
29030,808,59503.31,1992-01-03
36582,25,165573.24,1992-01-03
4000,487,109863.73,1992-01-04
7618,617,264107.47,1992-01-04
9379,245,146217.34,1992-01-04
10945,175,138110.78,1992-01-04
16164,689,107947.45,1992-01-04
34145,371,77573.37,1992-01-04
35811,410,206232.39,1992-01-04
6278,236,128993.92,1992-01-05
7107,637,223305.37,1992-01-05
16064,13,93254.35,1992-01-05
31555,475,97598.05,1992-01-05
39619,244,137289.4,1992-01-05
4800,247,108699.79,1992-01-06
5601,77,137966.54,1992-01-06
10432,862,159481.97,1992-01-06
13444,124,242793.39,1992-01-06
16036,565,235349.74,1992-01-06
18625,1042,252675.9,1992-01-06
25442,350,145300.68,1992-01-06
2983,430,60049.39,1992-01-07
12769,740,19932.59,1992-01-08
15141,265,121493.74,1992-01-08
4292,172,181876.15,1992-01-09
5409,89,190459.24,1992-01-09
7042,251,176534.85,1992-01-09
14726,896,104786.06,1992-01-09
23334,1012,29864.83,1992-01-09
26818,830,301805.52,1992-01-09
3744,451,38226.52,1992-01-10
11296,583,276651.38,1992-01-10
14820,796,117844.27,1992-01-10
18180,704,51394.5,1992-01-10
4998,223,156854.02,1992-01-11
10053,1009,195968.28,1992-01-11
17540,607,78102.54,1992-01-11
18275,145,207018.32,1992-01-11
20708,706,236782.44,1992-01-11
34662,532,292977.3,1992-01-11
39648,458,125755.06,1992-01-11
22663,940,151898.78,1992-01-12
23015,548,94748.05,1992-01-12
39942,499,23411.22,1992-01-12
292,157,43880.67,1992-01-13
5382,241,177748.09,1992-01-13
7783,916,164455.67,1992-01-13
21382,319,329248.58,1992-01-13
24005,421,144590.18,1992-01-13
28485,55,238548.29,1992-01-13
38147,968,192302.48,1992-01-13
3011,629,76768.3,1992-01-14
6501,23,154076.68,1992-01-14
22914,286,301959.88,1992-01-14
10151,412,7006.15,1992-01-15
20834,817,36646.15,1992-01-15
32615,943,20242.03,1992-01-15
36357,469,158155.15,1992-01-15
2210,223,46835.49,1992-01-16
13027,670,152122.09,1992-01-16
16807,442,151371.38,1992-01-16
24864,280,183089.76,1992-01-16
25351,1048,26054.07,1992-01-16
26883,1036,31232.91,1992-01-16
3685,112,214614.78,1992-01-17
9632,1000,118512.35,1992-01-17
23268,421,120720.59,1992-01-17
29090,716,182540.91,1992-01-17
29573,179,56672.97,1992-01-17
29888,910,204863.97,1992-01-17
33410,902,116400.87,1992-01-17
29412,661,19318.44,1992-01-18
15491,1030,254320.49,1992-01-19
24290,946,64290.99,1992-01-19
28197,953,83848.77,1992-01-19
6886,704,168087.49,1992-01-20
7684,802,219417.96,1992-01-20
8034,517,156450.94,1992-01-20
11969,314,332960.61,1992-01-20
33285,515,175431.07,1992-01-20
33956,178,164578.33,1992-01-20
38277,683,16928.19,1992-01-20
6016,152,85767.91,1992-01-21
7973,652,55441.29,1992-01-21
19617,43,71139.75,1992-01-21
29223,769,247834.16,1992-01-21
