,o_orderkey,o_custkey,o_totalprice,o_orderdate,o_freedelivery
0,3271,1124,130786.64,1992-01-01,no
1,5607,3095,32911.06,1992-01-01,no
2,20742,4652,127726.29,1992-01-01,no
3,23010,3100,129445.33,1992-01-01,no
4,27015,373,34457.95,1992-01-01,no
5,27137,1840,208740.32,1992-01-01,yes
6,37543,4225,163957.74,1992-01-01,no
7,45697,3721,364670.27,1992-01-01,yes
8,59718,842,90378.83,1992-01-01,no
9,88199,1231,296111.78,1992-01-01,yes
10,115585,4874,174152.78,1992-01-01,no
11,126753,4642,212506.48,1992-01-01,yes
12,139655,859,108026.57,1992-01-01,no
13,159266,3368,108218.17,1992-01-01,no
14,161954,4343,174759.76,1992-01-01,no
15,175975,256,298257.33,1992-01-01,yes
16,176768,3838,325448.81,1992-01-01,yes
17,179335,2801,68125.57,1992-01-01,no
18,183488,3946,233861.51,1992-01-01,yes
19,189441,901,166157.33,1992-01-01,no
20,190656,806,123689.24,1992-01-01,no
21,1248,1600,256058.26,1992-01-02,yes
22,3139,562,53978.3,1992-01-02,no
23,3712,2170,185536.21,1992-01-02,no
24,51648,3580,317147.3,1992-01-02,yes
25,53988,2000,82908.11,1992-01-02,no
26,63906,481,289306.74,1992-01-02,yes
27,69378,1246,162309.7,1992-01-02,no
28,69476,3802,65561.9,1992-01-02,no
29,90690,2158,260967.37,1992-01-02,yes
30,108992,5068,244709.97,1992-01-02,yes
31,128610,4306,32351.32,1992-01-02,no
32,128710,1564,166237.77,1992-01-02,no
33,130852,3959,309147.64,1992-01-02,yes
34,135392,280,174790.67,1992-01-02,no
35,152805,935,136285.37,1992-01-02,no
36,153954,2476,98165.2,1992-01-02,no
37,156868,4154,192022.35,1992-01-02,no
38,165571,1361,258911.81,1992-01-02,yes
39,165636,707,208616.04,1992-01-02,yes
40,168197,2350,85494.99,1992-01-02,no
41,169063,4433,47832.54,1992-01-02,no
42,6657,1571,61468.2,1992-01-03,no
43,22693,740,230672.1,1992-01-03,yes
44,24167,3521,140631.64,1992-01-03,no
45,29030,3920,50741.94,1992-01-03,no
46,36582,115,239132.06,1992-01-03,yes
47,46085,283,146847.05,1992-01-03,no
48,47591,2797,108343.55,1992-01-03,no
49,54214,2971,81294.72,1992-01-03,no
50,74023,1346,127693.92,1992-01-03,no
51,77634,991,193505.1,1992-01-03,no
52,80069,181,141192.05,1992-01-03,no
53,83328,251,90986.01,1992-01-03,no
54,106276,493,202855.11,1992-01-03,yes
55,112645,3550,196816.71,1992-01-03,no
56,120096,1672,27115.36,1992-01-03,no
57,128098,1106,72380.0,1992-01-03,no
58,130372,2068,193750.92,1992-01-03,no
59,136064,4462,125778.42,1992-01-03,no
60,138726,3862,295005.55,1992-01-03,yes
61,166371,2407,89159.49,1992-01-03,no
62,181282,364,96888.58,1992-01-03,no
63,190725,2824,82644.41,1992-01-03,no
64,4000,2366,121718.69,1992-01-04,no
65,7618,2998,335581.28,1992-01-04,yes
66,9379,1189,131036.18,1992-01-04,no
67,10945,841,181751.92,1992-01-04,no
68,16164,3347,110644.98,1992-01-04,no
69,34145,1802,90491.36,1992-01-04,no
70,35811,1990,210943.61,1992-01-04,yes
71,43494,3101,116992.49,1992-01-04,no
72,50471,2548,57891.36,1992-01-04,no
73,56033,4613,44283.81,1992-01-04,no
74,56675,3664,166735.28,1992-01-04,no
75,82145,1312,160634.6,1992-01-04,no
76,88900,664,95229.26,1992-01-04,no
77,108897,2399,28787.22,1992-01-04,no
78,126274,3443,180327.24,1992-01-04,no
79,130147,2993,154880.48,1992-01-04,no
80,132837,3179,147312.55,1992-01-04,no
81,192929,2941,219298.01,1992-01-04,yes
82,6278,1144,144008.09,1992-01-05,no
83,7107,3086,239351.22,1992-01-05,yes
84,16064,61,137659.24,1992-01-05,no
85,31555,2306,103699.01,1992-01-05,no
86,39619,1180,150334.54,1992-01-05,no
87,44646,4759,99224.83,1992-01-05,no
88,55011,2830,255031.31,1992-01-05,yes
89,69632,3997,284987.14,1992-01-05,yes
90,74215,200,84186.85,1992-01-05,no
91,81794,3703,269992.5,1992-01-05,yes
92,104768,226,203001.75,1992-01-05,yes
93,106371,2089,67336.98,1992-01-05,no
94,117191,2990,218683.13,1992-01-05,yes
95,125989,4067,262147.22,1992-01-05,yes
96,149441,917,107571.7,1992-01-05,no
97,160546,3151,64237.09,1992-01-05,no
98,161347,2350,9659.25,1992-01-05,no
99,163943,3703,41589.55,1992-01-05,no
100,164451,1643,145500.43,1992-01-05,no
101,165410,4465,118606.15,1992-01-05,no
102,173188,1810,112899.73,1992-01-05,no
103,181767,2308,73261.72,1992-01-05,no
104,183015,2869,80286.59,1992-01-05,no
105,186048,2291,129598.01,1992-01-05,no
106,191521,3286,306604.57,1992-01-05,yes
107,196480,1993,227219.7,1992-01-05,yes
108,198817,5003,99220.5,1992-01-05,no
109,4800,1196,147423.0,1992-01-06,no
110,5601,373,154669.17,1992-01-06,no
111,10432,4181,172208.11,1992-01-06,no
112,13444,598,292130.26,1992-01-06,yes
113,16036,2744,206864.53,1992-01-06,yes
114,18625,5060,269220.35,1992-01-06,yes
115,25442,1696,142928.77,1992-01-06,no
116,52516,3907,170046.97,1992-01-06,no
117,52517,1219,134444.54,1992-01-06,no
118,72901,2242,77146.28,1992-01-06,no
119,84930,553,27431.14,1992-01-06,no
120,87619,4054,47540.95,1992-01-06,no
121,103299,4457,21354.33,1992-01-06,no
122,104292,3920,178420.82,1992-01-06,yes
123,130848,4034,217556.34,1992-01-06,yes
124,152450,1550,23851.17,1992-01-06,no
125,164129,2995,89597.75,1992-01-06,no
126,180544,3227,100394.77,1992-01-06,no
127,180995,802,39425.43,1992-01-06,no
128,189415,3809,209784.1,1992-01-06,yes
129,196834,1682,80611.67,1992-01-06,no
130,2983,2080,80513.7,1992-01-07,no
131,56645,4382,244799.8,1992-01-07,yes
132,57698,3238,194808.92,1992-01-07,no
133,72807,4936,84978.07,1992-01-07,no
134,75840,2825,295315.14,1992-01-07,yes
135,76803,4039,110994.31,1992-01-07,no
136,78276,1244,225894.28,1992-01-07,yes
137,81154,4754,80841.23,1992-01-07,no
138,82277,3935,22668.6,1992-01-07,no
139,91941,3004,169651.11,1992-01-07,no
140,96870,2368,135271.64,1992-01-07,no
141,99008,733,209208.81,1992-01-07,yes
142,102085,1270,124263.22,1992-01-07,no
143,127140,2461,68269.86,1992-01-07,no
144,135845,4189,96417.34,1992-01-07,no
145,140641,4205,189119.65,1992-01-07,no
146,150183,3058,152674.34,1992-01-07,no
147,180964,1756,65271.83,1992-01-07,no
148,12769,3595,22635.15,1992-01-08,no
149,15141,1286,128326.55,1992-01-08,no
150,45284,2677,31259.54,1992-01-08,no
151,54115,2689,178426.51,1992-01-08,no
152,58081,545,102006.71,1992-01-08,no
153,77825,781,44522.4,1992-01-08,no
154,82561,1219,164814.84,1992-01-08,yes
155,86595,3538,141307.44,1992-01-08,no
156,88294,4502,9820.69,1992-01-08,no
157,95108,2111,164016.57,1992-01-08,no
158,99168,107,61591.87,1992-01-08,no
159,104388,3515,202055.08,1992-01-08,yes
160,105280,3517,46209.88,1992-01-08,no
161,106594,113,56676.75,1992-01-08,no
162,126083,3316,37787.74,1992-01-08,no
163,170599,2707,179542.75,1992-01-08,no
164,173445,5036,217569.68,1992-01-08,yes
165,194437,2819,208229.35,1992-01-08,yes
166,196455,2555,44389.27,1992-01-08,no
167,4292,829,173759.06,1992-01-09,no
168,5409,430,191583.69,1992-01-09,no
169,7042,1219,193396.24,1992-01-09,no
170,14726,4348,90855.53,1992-01-09,no
